### Layer 1 ###
__ 49 43 43 43 43 43 43 43 43 __ __ __ __ __ __ __
__ GA 43 GA __ GA __ __ __ GA 13 13 13 __ __ GA __
26 26 31 __ GA __ GA __ __ 40 27 27 GA 20 20 20 __
26 33 GA 05 05 03 10 10 __ 40 27 23 23 47 __ 20 __
26 33 47 47 05 GA 37 44 44 __ __ 23 GA 47 GA 20 __
26 21 21 21 21 15 37 44 23 23 23 23 16 16 16 20 __
26 GA 16 GA 21 15 37 GA GA GA 06 17 17 29 GA GA __
26 30 30 30 21 15 GA __ GA 17 17 17 GA 29 25 36 36
26 __ __ 30 GA 15 __ __ 39 17 __ __ __ 29 29 GA 20
26 42 42 42 __ 25 34 34 GA 17 GA 18 18 GA 29 49 __
26 GA __ __ __ GA GA 18 18 18 18 18 GA 33 29 __ __
__ 04 45 45 45 GA __ 35 GA 33 33 33 33 33 29 GA __
__ 04 GA GA 26 26 GA __ __ __ 46 GA 29 29 29 __ __
__ 01 09 09 09 09 09 GA __ __ 46 __ 29 GA __ GA 02
__ 01 GA __ __ __ __ 14 46 46 46 29 29 10 14 14 02
42 GA __ GA __ 11 GA __ GA 29 29 29 GA 10 02 02 02
__ 02 02 02 02 GA 38 GA __ __ 50 50 50 02 02 GA __
__ __ __ __ __ 11 11 11 11 11 11 11 11 11 11 11 __
### Layer 2 ###
__ 49 49 49 28 28 28 28 28 28 12 12 __ __ __ __ __
__ 21 43 24 28 32 32 32 32 28 __ 12 13 45 45 45 __
__ 21 31 __ 28 12 12 __ __ __ __ 12 12 __ __ __ __
21 21 44 47 __ 03 12 10 40 40 27 47 47 47 __ __ __
21 33 44 47 __ 12 12 __ 44 __ 27 04 04 01 01 __ __
21 21 44 44 __ __ 27 27 27 27 27 04 16 __ __ 20 __
__ 08 16 34 __ __ 37 37 19 35 06 04 17 17 17 20 __
__ 08 13 34 __ __ 27 37 19 __ 06 04 41 32 25 20 36
__ 08 13 34 22 25 25 37 19 __ 06 __ 41 32 32 22 20
__ 08 13 42 __ 25 34 37 19 __ 46 __ 41 __ 32 49 20
26 26 13 50 50 50 34 37 37 37 46 41 41 33 32 __ 20
43 26 13 50 45 41 41 35 48 37 46 36 36 36 32 07 20
43 04 13 48 26 48 24 48 48 __ 46 36 __ __ 32 07 __
43 01 01 48 48 48 24 19 19 08 08 08 08 08 32 32 __
43 43 03 __ __ __ __ 14 08 08 __ 37 10 10 14 32 __
42 43 __ 06 06 11 07 07 31 __ __ 37 37 __ __ 32 __
__ __ __ __ 02 11 02 40 31 50 50 02 02 02 __ 32 __
__ __ __ __ __ 11 02 02 02 02 02 02 __ __ __ __ __
### Layer 3 ###
__ __ __ 49 49 49 49 12 12 12 12 __ __ __ __ __ __
43 43 43 24 __ 12 49 __ 32 32 32 32 13 45 __ __ __
